iter	Passed	Remaining
402	12481	18489
403	12512	18458
404	12544	18430
405	12581	18406
406	12611	18375
407	12645	18348
408	12681	18324
409	12703	18281
410	12731	18245
411	12757	18207
412	12786	18173
413	12812	18135
414	12841	18101
415	12867	18064
416	12895	18028
417	12926	17998
418	12954	17963
419	12984	17930
420	13011	17894
421	13041	17862
422	13073	17832
423	13102	17799
424	13130	17764
425	13159	17731
426	13189	17699
427	13219	17666
428	13241	17624
429	13264	17582
430	13287	17541
431	13310	17500
432	13338	17466
433	13367	17433
434	13395	17399
435	13420	17360
436	13449	17327
437	13477	17292
438	13509	17263
439	13532	17222
440	13555	17182
441	13584	17149
442	13613	17116
443	13641	17082
444	13670	17049
445	13706	17025
446	13738	16996
447	13772	16969
448	13809	16946
449	13839	16914
450	13871	16885
451	13897	16849
452	13929	16820
453	13956	16784
454	13990	16758
455	14021	16727
456	14052	16697
457	14083	16666
458	14118	16640
459	14148	16608
460	14179	16579
461	14214	16553
462	14248	16525
463	14279	16495
464	14316	16471
465	14349	16443
466	14382	16414
467	14414	16386
468	14439	16347
469	14467	16314
470	14500	16285
471	14534	16259
472	14559	16221
473	14591	16191
474	14629	16168
475	14660	16139
476	14698	16115
477	14728	16084
478	14755	16049
479	14788	16020
480	14817	15987
481	14840	15948
482	14867	15913
483	14897	15882
484	14926	15849
485	14957	15818
486	14986	15786
487	15013	15752
488	15043	15720
489	15070	15685
490	15099	15653
491	15130	15622
492	15159	15590
493	15185	15554
494	15212	15520
495	15236	15482
496	15263	15447
497	15286	15409
498	15315	15377
499	15338	15338
500	15366	15305
501	15395	15272
502	15427	15242
503	15457	15212
504	15486	15180
505	15513	15145
506	15543	15114
507	15570	15080
508	15599	15047
509	15627	15014
510	15657	14983
511	15680	14945
512	15706	14910
513	15744	14886
514	15784	14864
515	15820	14838
516	15853	14810
517	15886	14782
518	15921	14755
519	15951	14724
520	15985	14696
521	16018	14668
522	16050	14639
523	16088	14614
524	16123	14587
525	16160	14563
526	16193	14534
527	16226	14505
528	16256	14474
529	16287	14443
530	16311	14406
531	16342	14376
532	16374	14347
533	16401	14312
534	16431	14281
535	16466	14254
536	16498	14225
537	16530	14195
538	16558	14161
539	16592	14134
540	16624	14104
541	16656	14074
542	16688	14045
543	16710	14007
544	16733	13969
545	16760	13936
546	16793	13907
547	16822	13875
548	16848	13840
549	16876	13808
550	16903	13774
551	16932	13742
552	16963	13711
553	16991	13678
554	17020	13647
555	17047	13613
556	17075	13580
557	17105	13549
558	17133	13516
559	17162	13484
560	17194	13455
561	17224	13424
562	17253	13392
563	17281	13359
564	17314	13330
565	17343	13298
566	17366	13261
567	17392	13228
568	17422	13197
569	17451	13164
570	17481	13133
571	17507	13100
572	17537	13069
573	17565	13036
574	17596	13006
575	17626	12975
576	17659	12945
577	17695	12919
578	17723	12887
579	17754	12856
580	17787	12827
581	17830	12805
582	17863	12777
583	17897	12748
584	17930	12720
585	17962	12690
586	17996	12661
587	18031	12634
588	18065	12606
589	18097	12576
590	18132	12548
591	18167	12520
592	18202	12492
593	18237	12465
594	18273	12438
595	18305	12408
596	18336	12378
597	18369	12349
598	18401	12319
599	18437	12291
600	18472	12263
601	18501	12232
602	18532	12201
603	18568	12174
604	18594	12140
605	18625	12109
606	18655	12078
607	18686	12048
608	18713	12014
609	18742	11983
610	18769	11949
611	18798	11917
612	18828	11887
613	18858	11855
614	18886	11823
615	18916	11792
616	18944	11759
617	18972	11727
618	19001	11695
619	19031	11664
620	19058	11631
621	19086	11599
622	19114	11566
623	19140	11533
624	19169	11501
625	19200	11470
626	19226	11437
627	19256	11406
628	19285	11375
629	19314	11343
630	19343	11312
631	19371	11279
632	19400	11248
633	19430	11216
634	19458	11184
635	19486	11152
636	19516	11121
637	19545	11089
638	19574	11058
639	19604	11027
640	19633	10996
641	19657	10961
642	19689	10931
643	19721	10902
644	19756	10873
645	19785	10842
646	19813	10809
647	19842	10778
648	19878	10750
649	19908	10719
650	19937	10688
651	19974	10661
652	19998	10627
653	20028	10596
654	20060	10566
655	20092	10536
