iter	Logloss
0	0.5295989582
1	0.4202223381
2	0.3338883793
3	0.2788298827
4	0.2363605172
5	0.2038794499
6	0.1781806883
7	0.1590155388
8	0.1457905197
9	0.1347818341
10	0.1255885179
11	0.1192990608
12	0.1144558349
13	0.1111656493
14	0.1083958655
15	0.1061525729
16	0.1039050516
17	0.1021925551
18	0.1011825634
19	0.1000992459
20	0.09909783535
21	0.09816012078
22	0.09766980686
23	0.09693333746
24	0.09657305774
25	0.09619405086
26	0.09579958866
27	0.09483064227
28	0.09450276053
29	0.09417665626
30	0.09384641271
31	0.09358094839
32	0.09335767563
33	0.09313392819
34	0.09294311372
35	0.09279613916
36	0.09249292971
37	0.09235925557
38	0.09205513112
39	0.09185704698
40	0.09165937095
41	0.09150539879
42	0.09135590711
43	0.09114215098
44	0.09105420197
45	0.09094016035
46	0.0907891597
47	0.09063375874
48	0.09054412603
49	0.09038411998
50	0.09008161399
51	0.09002968763
52	0.08996877521
53	0.08989996192
54	0.08975807713
55	0.08952445514
56	0.08940702319
57	0.08931775484
58	0.08920962378
59	0.08903654765
60	0.08898743801
61	0.08888705188
62	0.08877264796
63	0.0886904799
64	0.08858397465
65	0.08845962531
66	0.08833563335
67	0.08827671855
68	0.08821713714
69	0.08818679628
70	0.08806991168
71	0.08800750488
72	0.08792255467
73	0.08787644954
74	0.08784827939
75	0.08776077351
76	0.08772368236
77	0.08766938433
78	0.08762154199
79	0.08761440324
80	0.08760837513
81	0.0875563082
82	0.08748143876
83	0.08746682406
84	0.0874357116
85	0.0873995896
86	0.08738256771
87	0.08732611105
88	0.08730009699
89	0.0872505001
90	0.08720011896
91	0.08716721184
92	0.08712726748
93	0.08711127499
94	0.08709515443
95	0.08701912958
96	0.0869903087
97	0.08698359759
98	0.08694903529
99	0.0868914385
100	0.0868771991
101	0.08679058354
102	0.08672590797
103	0.08667979053
104	0.08663004059
105	0.08658488263
106	0.08654686643
107	0.08644832798
108	0.0863983645
109	0.0863733728
110	0.08632614454
111	0.08628499802
112	0.08623157461
113	0.08618800394
114	0.08615309971
115	0.08611999998
116	0.08609217954
117	0.08605950414
118	0.08601393685
119	0.08599304499
120	0.08594389925
121	0.08592300355
122	0.08588075097
123	0.08581203128
124	0.08578773469
125	0.08574646795
126	0.08574655863
127	0.08573056216
128	0.08571634422
129	0.08567455228
130	0.08564839438
131	0.08553615089
132	0.08552061637
133	0.08549182169
134	0.08549248641
135	0.08543806788
136	0.08539165055
137	0.08536956153
138	0.08534721878
139	0.08530703888
140	0.08530816166
141	0.0852440501
142	0.08522006497
143	0.08521996237
144	0.0851889822
145	0.08514952477
146	0.08513670159
147	0.08512985237
148	0.08511363949
149	0.08511356324
150	0.08507490237
151	0.08507491923
152	0.08507496257
153	0.0850631089
154	0.08499292198
155	0.08499300983
156	0.08499300983
157	0.0849929533
158	0.08497017251
159	0.08489093752
160	0.0848294427
161	0.08476304837
162	0.08468761863
163	0.08462415146
164	0.08459501051
165	0.08453982796
166	0.08452350293
167	0.08450534975
